ConditionEvents,en,uk
Evt5149_Select1,[Try to crack the code],[Спробуйте зламати код]
Evt5149_Select1_Hint0,"It takes a while, but you start to notice patterns in the text. You$STR_2ve cracked the cypher! You little cryptographer, you.","Це займає деякий $STR_2 час, але ви починаєте помічати закономірності в тексті. Ти зламав шифр! Ти маленький криптограф, ти."
Evt5149_Select2,[Give up],[Здатися]
EventTitle5150,Code Cracker 4,Code Cracker 4
EventText5150,"Finally understanding the code, you begin reading through the books. It appears to be the investigation logs of a private eye. Apparently, the owner of a local gas station was having an affair with the wife of one of his employees. The accounts are pretty salacious, but not particularly useful. You sorta feel like a creep.","Нарешті зрозумівши код, ви починаєте читати книги. Виявляється, це журнали розслідування приватного детектива. Судячи з усього, власник місцевої заправки мав роман з дружиною одного зі своїх працівників. Записи досить непристойні, але не особливо корисні. Відчуваєш себе якимось виродком."
Evt5150_Select0,"Well, that was a waste of time.","Що ж, це була марна трата часу."
Evt5150_Select0_Hint0,"But hey, free smut!","Але агов, безкоштовна порнуха!"
EventTitle5151,Courier Compadre,Кур'єр Компадре
EventText5151,"You gawk at a man trying to load a bunch of supplies onto the back of his small trike. It$STR_2s quite obviously overloaded, and you start to worry that the trike$STR_2s about to collapse under the weight.\nIt pains you to see your brother in delivery struggling like this.","Ви$STR_2 витріщаєтеся на $STR_2 чоловіка, який намагається завантажити купу речей на задню частину свого маленького триколісного велосипеда. Він явно перевантажений, і ви починаєте хвилюватися, що трицикл ось-ось розвалиться під його вагою.\nВам боляче бачити, як ваш брат по доставці намагається впоратися з цією проблемою."
Evt5151_Select0,What's going on?,Що відбувається?
Evt5151_Select0_Hint0,"The man gives you a friendly wave. $STR_1Heya! You folks couriers too? Independent, huh? That$STR_2s cool. I work for a shipping company, gotta get this order delivered stat.$STR_1\n$STR_1Had a little run-in with the infected, needed to dump the goods while I tried to lose them. As you can see, I$STR_2m having a little trouble putting it all back.$STR_1","Чоловік привітно махає вам рукою. Агов! Ви$STR_1 те$STR_2ж кур'єри? Незалежні, так? Це круто. Я працюю в транспортній компанії, маю терміново доставити це замовлення.$STR_1\n$STR_1Мав невеличку сутичку з інфікованими, довелося скинути товар, поки я намагався його втратити. Як бачите, я$STR_2маю невеликі проблеми з тим, щоб повернути все назад.$STR_1"
Evt5151_Select1,(A colleague is an enemy in this business. Leave him to his fate.),(Колега - це ворог у цій справі. Залиште його напризволяще).
Evt5151_Select2,We can carry your cargo for you.,Ми можемо перевезти ваш вантаж для вас.
Evt5151_Select2_Hint0,"Looking up at your huge truck, the courier$STR_2s eyes light up. $STR_1Gee, you$STR_2d do that for me? Thanks a ton!$STR_1","Дивлячись на вашу величезну $STR_1 вантажівку, очі кур'єра $STR_2 загоряються. Ого, ви$STR_1 зробили це$STR_2 для мене? Дуже дякую!"
EventTitle5152,(Side Story) Courier Compadre,(Побічна історія) Кур'єрський компаньйон
EventText5152,Help your fellow courier deliver his goods to the nearest city.,Допоможіть своєму колезі-кур'єру доставити товар до найближчого міста.
Evt5152_Hint0,"When you arrive in town, the courier and his trike are waiting for you.\n$STR_1Oh man, thanks again for this. Let me buy you folks dinner!$STR_1","Коли ви$STR_1 приїдете до міста, кур'єр на своєму мотоциклі чекатиме на вас.\n$STR_1О, дякую ще раз за це. Дозвольте пригостити вас вечерею!"
EventTitle5153,Customer Disservice 1,Обслуговування клієнтів 1
EventText5153,"You find a car parked by the side of the road. The ground is scattered with various parts and tools. The car$STR_2s owner sits slumped against the door, clearly having given up.","Ви знаходите автомобіль, припаркований на узбіччі дороги. На землі розкидані різні деталі та інструменти. Власник автомобіля $STR_2 сидить, притулившись до дверей, явно здавшись."
Evt5153_Select0,What's the matter?,У чому справа?
Evt5153_Select0_Hint0,"$STR_1Oil pump crapped out. Car won$STR_2t even start anymore. I tried to fix it, but the damn thing didn$STR_2t come with a manual.$STR_1 The man throws his hands up.\n$STR_1I called the manufacturer to send someone out to fix it, but they told me $STR_2we won$STR_2t send our employees into an area with an infected presence.$STR_2 Can you believe that shit?! It$STR_2s the Dustlands! The whole thing$STR_2s an $STR_2infected presence$STR_2!$STR_1","$STR_1Масляний насос зламався. Машина більше не заводиться. Я намагався полагодити його, але до цієї клятої штуки не було інструкції.$STR_1 Чоловік розводить руками$STR_2.\n$STR_1 Я подзвонив ви$STR_2робнику, щоб вони$STR_2 прислали когось полагодити його, але вони$STR_2 сказали мені,$STR_2 що ми$STR_2 не маємо права посилати наших працівників у зону зараження.$STR_2 Ти$STR_1 можеш повірити в це$STR_2 лайно?! Це$STR_2 ж Пилові пустки! Це все заражена територія!"
Evt5153_Select1,We can speak with the manufacturer for you.,Ми можемо поспілкуватися з виробником за вас.
Evt5153_Select1_Hint0,$STR_1You$STR_2d do that? Thanks a million!$STR_1 The man pulls a rifle out from the back seat. $STR_1I$STR_2ll stay here with the car. Make sure no hooligans try to strip it of the parts that still work.$STR_1,"Ти$STR_1 це $STR_2 зробив? Величезне спасибі! $STR_1 Чоловік дістає з заднього сидіння гви$STR_2$STR_1нтівку. Я залишуся тут з машиною. Переконайтеся, що жоден хуліган не спробує розібрати її на запчастини, які ще працюють.$STR_1"
Evt5153_Select2,We could try replacing the pump.,Ми можемо спробувати замінити насос.
Evt5153_Select2_Hint0,"You pop open the hood and take a look at the busted oil pump. It$STR_2s an odd design, probably made custom by the manufacturer. You can$STR_2t figure out how it works.","Ви$STR_2 відкриваєте капот і дивитесь на зламаний масляний $STR_2 насос. Він має дивну конструкцію, ймовірно, зроблену виробником на замовлення. Ви не можете зрозуміти, як він працює."
Evt5153_Select3,"Well, good luck.","Що ж, удачі."
EventTitle5154,(Side Story) Customer Disservice,(Побічна історія) Незадовільне обслуговування клієнтів
EventText5154,Help the driver with the broken-down car talk to the car's manufacturer.,"Допоможіть водієві автомобіля, що зламався, поговорити з виробником автомобіля."
EventTitle5155,Customer Disservice 2,Незадовільне обслуговування клієнтів 2
EventText5155,"You finally track down the manufacturer of the man$STR_2s broken-down car. A very upbeat customer service rep comes out to meet you.\nYou explain the situation, and once again ask them to send a mechanic to fix the car. You offer to escort whoever they send.\n$STR_1Sorry, no can do! Company policy, you understand.$STR_1","Ви нарешті знайшли виробника автомобіля чоловіка$STR_2, який зламався. Назустріч вам виходить дуже веселий представник служби підтримки.\nВи пояснюєте ситуацію і ще раз просите прислати механіка, щоб полагодити машину. Пропонуєте супроводжувати того, кого пришлють.\n$STR_1На жаль, не можемо! Політика компанії, ви ж розумієте.\n$STR_1"
Evt5155_Select0,[Kidnap a mechanic],[Викрадення механіка]
Evt5155_Select0_Hint0,"Finding a lone mechanic taking his lunch break, you press a gun to his spine and shuffle him over to your truck. Once inside, you explain the situation.\n$STR_1Um... sorry, but I$STR_2m new here. I don$STR_2t actually know how to... what$STR_2s an oil pump?$STR_1\n$STR_1Wait, you$STR_2re a mechanic but you don$STR_2t know what an oil pump is?$STR_1\n$STR_1Yeah... is that bad?$STR_1\n$STR_1Get out.$STR_1","Знайшовши самотнього механіка під час обідньої $STR_2 перерви$STR_2$STR_1, ви$STR_1 приставляєте$STR_1 пістолет до його хребта і заштовхуєте його до своєї вантажівки. Опинившись всередині, ви$STR_1 пояснюєте ситуацію.\n$STR_1 Емм... вибачте, але я тут новенький. Я не знаю, як$STR_2... що$STR_2 таке масляний насос? Стривай, ти$STR_1 механік, але не знаєш, що$STR_1 таке масляний насос? Так... це$STR_1 погано? Вимітайся."
Evt5155_Select1,[Request information on how the pump works],[Запит інформації про роботу насоса] [Запит інформації про роботу насоса]
Evt5155_Select1_Hint0,"$STR_1Sorry, that$STR_2s a trade secret!$STR_1 the customer service rep tells you, still infuriatingly chipper. $STR_1I$STR_2d tell you, but then I$STR_2d have to kill you... Ahahaha, just kidding! But seriously, if you do figure out how it works we will sue the ever-living daylights out of you.$STR_1","$STR_1 Вибачте, це $STR_2 комерційна таємниця! $STR_1 каже вам представник служби підтримки, все ще несамовито бадьорий. $STR_1 Я$STR_2d скажу вам, але тоді мені$STR_2d доведеться вас вбити... Ахахаха, просто жартую! А якщо серйозно, якщо ти з'ясуєш, як це працює, ми подамо на тебе в суд. $STR_1"
Evt5155_Select2,We'll report you to the Syndicate.,Ми доповімо про вас Синдикату.
Evt5155_Select2_Hint0,"Seeing what a shoddy operation this is, you can$STR_2t imagine that it$STR_2s Syndicate-backed, but no business in their right mind would want to get on their bad side. Visibly nervous, the rep says, $STR_1Um... let me check with my manager. Be back in a jiff!$STR_1 He rushes off.\nShortly afterwards, he returns. $STR_1Okay, the good news is I$STR_2ve been authorized to share a SMALL amount of information with you. This is a great honor, you know!$STR_1","Бачачи, наскільки неякісною є ця операція, ви$STR_2 не можете уявити, що$STR_1 її підтримує Синдикат, але жоден бізнес при здоровому глузді не захоче потрапити до них у немилість. Помітно нервуючи, представник каже: ""Емм... дозвольте мені запитати у мого менеджера. Я зараз повернуся! $STR_1 Він кидається геть.\nНезадовго після цього він повертається. $STR_1Гаразд, гарна новина в тому, що я$STR_2був уповноважений поділитися з вами НЕВЕЛИКОЮ кількістю інформації. Це$STR_2 велика честь, знаєте! $STR_1"
Evt5155_Select3,[Give up],[Здатися]
Evt5155_Select3_Hint0,That driver's just gonna have to figure this out himself.,Водієві доведеться самому з цим розібратися.
EventTitle5156,Customer Disservice 3,Обслуговування клієнтів 3
EventText5156,"The information you$STR_2re provided isn$STR_2t very useful. However, after the rep leaves, an older, grizzled-looking mechanic comes up to you.\n$STR_1Heard you folks are having some oil pump troubles? Yeah, those things might as well be held together by bubblegum and prayers. Could take a look for you, if you$STR_2d like. Beats being stuck in this dump all day.$STR_1","Інформація, яку ви$STR_1$STR_2надали, не$STR_2є дуже корисною. Однак, після того, як представник йде, до вас підходить старший, сивий на вигляд механік.\n$STR_1Чув, що$STR_2 у вас проблеми з масляним насосом? Так, такі речі можна полагодити лише жуйкою та молитвами. Можу глянути, якщо хочете. Краще, ніж застрягти в цій дірі на цілий день."
Evt5156_Select0,[Point out the location to him],[Покажіть йому місце розташування]
Evt5156_Select0_Hint0,"$STR_1Got it. I$STR_2ll be there in a flash. Don$STR_2t tell my bosses, alright?$STR_1 You don$STR_2t know if this guy$STR_2ll be able to help, but it$STR_2s better than nothing.","$STR_1 Зрозумів. Я буду там за $STR_2 мить. Не кажи моєму начальству, гаразд? Ти$STR_2 не знаєш, чи зможе це$STR_2$STR_1й хлопець допомогти, але це$STR_2 краще, ніж нічого."
EventTitle5157,Hold Your Fire,Не стріляти!
EventText5157,"You$STR_2re about to enter the city when you spot a fuel tanker barreling down the road, leaking fuel behind it. Looking in the cab, you see that the driver has been turned into an infected. The tanker is headed straight towards a gas station.","Ви$STR_2 в'їжджаєте в місто, коли помічаєте бензовоз, що їде по дорозі, а з-під нього витікає пальне. Зазирнувши в кабіну, ви бачите, що водій перетворився на інфікованого. Бензовоз прямує прямо до заправки."
Evt5157_Select0,[Shoot the tanker],[Стріляють у цистерну]
Evt5157_Select0_Hint0,"You shoot at the tanker, but it does little more than spark up the leaking fuel. The tanker continues barreling towards the gas station. Realizing what$STR_2s about to happen, your driver hauls ass out of there. The resulting inferno doesn$STR_2t kill you, but it does slam one of your truckers face-first into the dash.","Ви стріляєте по $STR_2 бензовозу, але це лише підпалює паливо, що$STR_2 витікає. Автоцистерна продовжує рух до заправки. Зрозумівши, що зараз станеться, ваш водій тікає звідти. В результаті вибуху ви не гинете, але один з ваших водіїв врізається обличчям в приладову панель."
Evt5157_Select1,[Ram the tanker over],[Таран танкера]
Evt5157_Select1_Hint0,"You ram into the tanker cab at full speed. Your truck takes some damage, but you manage to topple the tanker over. Disaster averted.","Ви на повній швидкості врізаєтесь у кабіну цистерни. Ваша вантажівка отримує деякі пошкодження, але вам вдається перекинути цистерну. Катастрофу відвернуто."
Evt5157_Select2,[Shoot the tires],[Стріляти в шини]
Evt5157_Select2_Hint0,"You expertly shoot the tires of the tanker, sending it veering off to the right. You watch as the tanker careens off into the sunset.","Ви вправно стріляєте по колесах бензовозу, змушуючи його звернути праворуч. Ви спостерігаєте, як цистерна мчить у захід сонця."
Evt5157_Select3,[Flee],[Втікає]
Evt5157_Select3_Hint0,"You peel on out of there, trying to escape the impending inferno. A shower of debris damages your truck, and the shockwave slams one of your truckers face-first into the dash.","Ви вириваєтеся звідти, намагаючись врятуватися від пекла, що насувається. Злива уламків пошкоджує вашу вантажівку, а ударна хвиля вдаряє одного з ваших водіїв обличчям в приладову панель."
EventTitle5158,Saint Critter,Свята Тварина
EventText5158,"A silver flash flies through the grass ahead. It looks to be a small animal, but you can$STR_2t identify it.","Сріблястий спалах пролітає крізь траву попереду. Схоже, це маленька тварина, але ви можете$STR_2t ідентифікувати її."
Evt5158_Select0,[Try to catch it],[Спробуйте зловити його]
Evt5158_Select0_Hint0,"It$STR_2s a smart little bugger. It gives you the runaround, leading you deeper and deeper into the woods. Before you know it, you find yourself surrounded by wolves. You manage to fight them off, but not without getting bit. By the time the wolves have fled, the creature has disappeared.","Це$STR_2 - розумний маленький гад. Він змушує вас тікати, ведучи все глибше і глибше в ліс. Не встигнеш озирнутися, як опинишся в оточенні вовків. Вам вдається відбитися від них, але не без укусів. На той час, коли вовки втекли, істота зникла."
Evt5158_Select1,[Try to learn more],[Спробуйте дізнатися більше]
Evt5158_Select1_Hint0,"Just then, you encounter a few local villagers. You tell them about the strange creature you just saw.\n$STR_1Oh! You must be talking about Saint Critter. She$STR_2s the guardian of this village. She even saved us from an infected swarm, once. We thought we$STR_2d all be zed-chow, but then she brought over a bunch of forest animals and killed them all!$STR_1","Саме тоді ви$STR_1 зустрічаєте кількох місце$STR_2вих жителів. Ви розповідаєте їм про дивну істоту, яку щойно бачили.\n$STR_1О! Ви, мабуть, говорите про Святу Тваринку. Вона\n$STR_2охоронець цього села. Одного разу вона навіть врятувала нас від зараженого рою. Ми думали, що нам усім кінець, але вона привела зграю лісових звірів і вбила їх усіх!"
EventTitle5159,Saint Critter 2,Свята Тварина 2
EventText5159,"Noticing your curious looks, the villager bids you to stow your guns and follow him into the tall grass.\nEmerging into a clearing, you see the little silver creature again. She regards you with indifference, then lays down for a nap. Doesn$STR_2t look like she has much to worry about, seeing as she$STR_2s guarded by a pack of ferocious-looking wolves.","Помітивши ваші цікаві погляди, селянин пропонує вам скласти зброю та піти за ним у високу траву.\nВийшовши на галявину, ви знову бачите маленьке сріблясте створіння. Вона дивиться на вас байдуже, потім лягає подрімати. Чи не $STR_2здається, що їй є про що хвилюватися, оскільки її$STR_2 охороняє зграя лютих вовків."
Evt5159_Select0,[Offer the wolves some food],[Запропонуйте вовкам їжу]
Evt5159_Select0_Hint0,The alpha wolf takes one sniff of your highly-processed offering. It turns its nose up in disgust.,Альфа-вовк робить один нюх на вашу високотехнологічну пропозицію. Він гидливо крутить носом.
Evt5159_Select1,[Try to approach],[Спробуйте підійти]
Evt5159_Select1_Hint0,"The wolves let out a fierce howl, clearly a warning. You decide you probably shouldn$STR_2t get much closer.","Вовки видали люте виття, явно попереджаючи. Ви вирішуєте, що, мабуть, не варто$STR_2наближатися."
Evt5159_Select2,[Ask the villager how to appease her],"(Запитайте селянина, як її заспокоїти)"
Evt5159_Select2_Hint0,"$STR_1Oh, that$STR_2s easy. Bring her an offering.$STR_1\n$STR_1What sort of offering?$STR_1\n$STR_1Infected meat. Not too rotten, though. She doesn$STR_2t like rotten.$STR_1 \nHuh.","$STR_2 О, це$STR_1 легко. Принеси їй жертву. $STR_1\n$STR_1Яку жертву? $STR_1\n$STR_1Заражене м'ясо. Але не дуже гниле. Вона не любить гниле."
Evt5159_Select3,[Talk to the wolves],[Розмова з вовками]
Evt5159_Select3_Hint0,"$STR_1You wish to earn the mistress$STR_2s favor, pinkskin? Bold of you.$STR_1 Damn, this is one eloquent wolf. $STR_1Bring her the flesh of the ones you call $STR_2infected$STR_2. Fresh as you can find. Do not insult the mistress with rot.$STR_1\nHuh.","Хочеш заслужити$STR_1 прихильність господині, рожевошкірий? Сміливо з твого боку.$STR_1 Чорт, який красномовний вовк. Принеси їй м'ясо тих, кого ти$STR_1 називаєш $STR_2зараженими $STR_2. Найсвіжішу, яку зможеш знайти. Не ображай господиню гниллю.$STR_1\nХм."
EventTitle5160,(Side Story) Fresh Kibble,(Побічна історія) Свіжий корм
EventText5160,Hunt down an infected and bring its meat to this $STR_1Saint Critter$STR_1 creature.,Вполюйте зараженого і принесіть його м'ясо цій істоті $STR_1Saint Critter$STR_1.
Evt5161_Hint0,"You$STR_2ve managed to gather some fresh infected meat, or at least what passes for $STR_1fresh$STR_1. Seems like an oxymoron.","Вам$STR_2 вдалося зібрати трохи свіжого зараженого м'яса, або принаймні того, що схоже на $STR_1свіже$STR_1. Схоже на оксюморон."
EventTitle5162,(Side Story) Fresh Kibble 2,(Побічна історія) Свіжий корм 2
EventText5162,Bring the $STR_1fresh$STR_1 infected meat to $STR_1Saint Critter$STR_1.,Принесіть заражене м'ясо $STR_1fresh$STR_1 до $STR_1Saint Critter$STR_1.
Evt5162_Hint0,"You gently place your grisly offering in front of Saint Critter and her wolves. The wolves tear apart the flesh, giving the freshest, juiciest morsels to their mistress before devouring the rest themselves. The little silver creature takes a few nibbles, seemingly satisfied by your gift.\nShe lets out a shrill cry, which the wolves seem to understand. One of them lopes off into the woods, returning shortly afterwards with an object in its mouth. It places the object at your feet. It$STR_2s a core!","Ти обережно кладеш свою жахливу жертву перед Святою Тварюкою та її $STR_2 вовками. Вовки розривають м'ясо, віддаючи найсвіжіші, найсоковитіші шматочки своїй господині, а решту з'їдають самі. Маленьке сріблясте створіння відкушує кілька шматочків, здається, задоволене вашим подарунком.\nВона видає пронизливий крик, який, здається, розуміють вовки. Один з них кидається до лісу, але невдовзі повертається з предметом у пащі. Він кладе предмет до ваших ніг. Це ядро!"
EventTitle5163,Who to Save?,Кого рятувати?
EventText5163,"The drainage system of this gas station clearly wasn$STR_2t well-designed. After a torrential rain earlier, it$STR_2s been heavily flooded.\nWith the water too deep to drive through, you prepare to turn around. Just then, however, you see a man flailing in deep water. Next to him in the water is a dog.","Дренажна система цієї заправки явно не була$STR_2t добре спроектована. Після проливного дощу, що пройшов напередодні, її сильно затопило.\nВода занадто глибока, щоб проїхати, і ви$STR_2 готуєтесь розвернутися. Але тут ви бачите чоловіка, який борсається у воді. Поруч з ним у воді - собака."
Evt5163_Select0,[Save the man],[Врятуйте людину]
Evt5163_Select0_Hint0,"You manage to pull the man out of the water. $STR_1No! Save my dog!$STR_1 He prepares to jump back into the water, but you hold him back.\n$STR_1Dogs can swim, dingus.$STR_1 You all watch as his dog casually paddles back to shore. Reunited, the man hugs his dog tight and thanks you profusely.","Вам вдається витягнути чоловіка з води. $STR_1Ні! Рятуйте мого собаку! $STR_1Він готується стрибнути назад у воду, але ви його стримуєте.\n$STR_1Собаки вміють плавати, Дінгусе.$STR_1Ви всі бачите, як його собака неквапливо гребе назад до берега. Возз'єднавшись, чоловік міцно обіймає свого собаку і щиро дякує вам."
Evt5163_Select1,[Save the dog],[Врятуйте собаку]
Evt5163_Select1_Hint0,"You pull out the dog out of the water, leaving the man to his fate. As the man$STR_2s lifeless body sinks beneath the surface, the dog turns to you with a look of, $STR_1I$STR_2m a dog. You know I can swim, right?$STR_1 Oh well.","Ви$STR_2 витягаєте собаку з $STR_1 води, залишаючи чоловіка $STR_2 напризволяще. Коли бездиханне тіло чоловіка опускається на поверхню, собака повертається до вас з таким виглядом: ""Я собака"". Ти$STR_1 ж знаєш, що я вмію плавати?"
Evt5163_Select2,Eh... don't feel like getting wet today.,Ех... не хочеться сьогодні мокнути.
Evt5163_Select2_Hint0,Look at this guy. Some people would kill to have that much water! You leave the spoiled asshole to his fate.,"Подивіться на цього хлопця. Деякі люди вбили б, щоб отримати стільки води! Ви залишаєте розпещеного мудака напризволяще."
EventTitle5164,Water You Up To - Pickup,Напоїти вас до дна - самовивіз
EventText5164,"You pass by a small, decrepit factory. It initially looks abandoned, but then you notice a few figures moving about.","Ви проходите повз невелику, напівзруйновану фабрику. Спочатку вона виглядає занедбаною, але потім ви помічаєте кілька фігур, що рухаються навколо."
Evt5164_Select0,[Observe],[Спостереження]
Evt5164_Select0_Hint0,The men are carrying large boxes from the factory to their truck.,Чоловіки несуть великі коробки з фабрики до своєї вантажівки.
Evt5164_Select1,[Approach them],[Підійдіть до них]
Evt5164_Select1_Hint0,"The men are startled by your approach, but they don$STR_2t draw their weapons. $STR_1Can... can we help you?$STR_1 the leader asks, starting at your truck warily.","Чоловіки налякані вашим $STR_2 наближенням, але не витягають зброю. $STR_1Ми можемо... ми можемо вам допомогти?$STR_1 - запитує лідер, обережно наближаючись до вашої вантажівки."
Evt5164_Select2,[Leave],[Піти]
EventTitle5165,Water You Up To - Pickup 2,Water You Up To - Пікап 2
EventText5165,"You can$STR_2t tell what$STR_2s inside the crates, but judging by the number that they$STR_2ve loaded onto their truck, they must$STR_2ve emptied this place out.","Ви$STR_2 не можете $STR_2 сказати, що$STR_2 знаходиться всередині ящиків, але, судячи з кількості, яку вони$STR_2 завантажили в свою вантажівку, вони, мабуть, вивезли все з цього місця."
Evt5165_Select0,What are you guys doing here?,Що ви тут робите?
Evt5165_Select0_Hint0,$STR_1Uh... transporting something. To our employer.$STR_1 His secrecy makes you think whatever they$STR_2re transporting must be pretty valuable.,"Е-е... перевозять дещо. Нашому роботодавцю.$STR_1 Його секретність змушує думати, що$STR_1 те, що вони$STR_2 перевозять, має бути досить цінним."
Evt5165_Select1,[Take a look around the factory],[Огляньте фабрику]
Evt5165_Select1_Hint0,"The men keep their eyes trained on you, but they don$STR_2t stop you from entering the factory. You find nothing but broken glass and a few empty bottles. Whatever they were picking up, it seems like it$STR_2s all on their truck.","Чоловіки не зводять з вас $STR_2 очей, але не заважають вам увійти на фабрику. Ви$STR_2 не знаходите нічого, окрім битого скла та кількох порожніх пляшок. Що б вони не забирали, здається, що все це знаходиться в їхній вантажівці."
Evt5165_Select2,[Peek inside a crate],[Зазирає всередину ящика]
Evt5165_Select2_Hint0,"While the men aren$STR_2t looking, you manage to sneak a peek into one of the crates. You find small vials of... water? Pretty pure, from the looks of it.","Поки чоловіки $STR_2 відволікаються, вам вдається зазирнути в один з ящиків. Ви знаходите маленькі флакони з... водою? Досить чиста, судячи з вигляду."
EventTitle5166,Water You Up To - Pickup 3,Water You Up To - Пікап 3
EventText5166,"Your crew and the mysterious men stare at each other, not really sure what to do next. Finally, their leader plucks up his courage and speaks. $STR_1You guys looking for work? We could use some help moving this cargo.$STR_1","Ваш екіпаж і таємничі люди дивляться один на одного, не знаючи, що робити далі. Нарешті, їхній лідер набирається сміливості і говорить. $STR_1Вам, хлопці, потрібна робота? Нам би не завадила допомога в перевезенні цього вантажу.$STR_1"
Evt5166_Select0,What's in it for us?,Що це дає нам?
Evt5166_Select0_Hint0,$STR_1You$STR_2ll get paid upon delivery for every crate you bring. That work for you?$STR_1,"$STR_1Ви$STR_1$STR_2отримаєте гроші при доставці за кожен ящик, який ви привезете. Тебе влаштовує?"
Evt5166_Select1,Sure.,Звісно.
Evt5166_Select1_Hint0,"$STR_1Alright! Should move things along quicker. And this goes without saying, but I trust that you won$STR_2t peek inside the crates.$STR_1","Гаразд! Так ми просунемось швидше. І це само собою зрозуміло, але я сподіваюся, що ви$STR_1 виграли $STR_2t зазирнути всередину ящиків.$STR_1"
Evt5166_Select2,We'll pass.,Ми пас.
Evt5166_Select2_Hint0,"$STR_1Alright, suit yourself.$STR_1 The man waves you off, unbothered. His crew gets back to work.","$STR_1 Гаразд, як хочете.$STR_1 Чоловік безтурботно відмахується від вас. Його команда повертається до роботи."
EventTitle5167,(Side Quest) Suspicious Cargo,(Побічний квест) Підозрілий вантаж
EventText5167,A crew of mysterious men has given you cargo to deliver. It's pretty heavy.,Екіпаж таємничих людей доручив вам доставити вантаж. Він досить важкий.
Evt5167_Hint0,"You arrive at the intended destination for your suspicious cargo. The recipient is a wealthy-looking man. Strangely, he$STR_2s flanked not just by his bodyguards, but also a number of people dressed in medical scrubs. You receive your reward.","Ви прибуваєте до місця призначення вашого підозрілого $STR_2 вантажу. Одержувач - заможний на вигляд чоловік. Дивно, але його оточують не лише охоронці, а й кілька людей, одягнених у медичні халати. Ви отримуєте свою винагороду."
EventText5168,Unknown cargo? A mysterious employer? You're itching to take a peek inside.,Невідомий вантаж? Таємничий роботодавець? Вам кортить зазирнути всередину.
Evt5168_Select0,[Take a peek],[Поглянь]
Evt5168_Select0_Hint0,"You crack open one of the crates, finding it full of small vials of clear liquid. Upon closer inspection, you realize that the liquid is... water? It$STR_2s pretty pure, but why go through all this trouble?","Ви відкриваєте один з ящиків і бачите, що він наповнений маленькими флаконами з прозорою рідиною. Придивившись уважніше, ви розумієте, що це... вода? Вона $STR_2 досить чиста, але навіщо все це?"
Evt5168_Select1,[Steal the goods],[Вкрасти товар]
Evt5168_Select1_Hint0,"It$STR_2s a pain in the ass drinking out of these tiny vials. But hey, it$STR_2s free clean water!",Пити з цих крихітних пляшечок - справжній біль у $STR_2 дупі. Але ж це$STR_2 безкоштовна чиста вода!
Evt5168_Select2,Let's go.,Ходімо.
EventTitle5169,Water You Up To - Suspicious Cargo,Напоїти вас - підозрілий вантаж
EventText5169,"The wealthy man turns to leave, but stops short. He comes over to you and shakes your hand, a toothy, pearly-white grin plastered on his face. $STR_1Pleasure to make your acquaintance. The name$STR_2s Buzz Nessman.$STR_1 Sure it is. $STR_1You fine folks looking for more work? I$STR_2ve got another shipment I need picked up, and I$STR_2m paying a premium.$STR_1","Заможний чоловік $STR_1 розвертається, щоб $STR_2 піти, але зупиняється. Він підходить до вас і тисне вам руку, на його обличчі застигла зубаста, перламутрово-біла посмішка. СТР_1Приємно познайомитися з вами. Мене звуть Базз Нессман. Ви$STR_1, хлопці, шукаєте роботу? У мене є ще один вантаж, який потрібно забрати, і я плачу премію."
Evt5169_Select0,What kind of shipment?,Що за вантаж?
Evt5169_Select0_Hint0,Mr. Nessman$STR_2s smile drops. $STR_1Are you sure that$STR_2s a question you should be asking?$STR_1,"Усмішка містера Нессмана зникає. $STR_1Ви впевнені, що$STR_2це питання варто ставити? $STR_1$STR_2"
Evt5169_Select1,Is it more water?,Це більше води?
Evt5169_Select1_Hint0,"$STR_1Looks like we$STR_2ve got some nosy nellies, huh?$STR_1 Mr. Nessman chuckles, then turns to his bodyguards.\n$STR_1Shut them up.$STR_1","$STR_1 $STR_2 Схоже, у нас є допитливі дівчата, га? $STR_1 Пан Нессман хихикає, потім повертається до своїх охоронців.\n$STR_1 Заткніть їм пельки.$STR_1"
Evt5169_Select2,You've got a deal.,Домовилися.
Evt5169_Select2_Hint0,$STR_1Splendid!$STR_1 Mr. Nessman hands you a briefcase full of scrap. $STR_1Your advance. There$STR_2s more in it for you if you get the shipment to me in one piece. That means no peeking inside. We$STR_2ll know if you do.$STR_1,"$STR_1 Чудово! $STR_1 Містер Нессман вручає вам портфель, повний брухту. Ваш аванс. Тут $STR_2 ще більше, якщо доставите мені вантаж цілим і неушкодженим. Це$STR_2 означає, що не заглядати всередину. Ми$STR_1 знатимемо, якщо ти$STR_1 це зробиш."
Evt5169_Select3,We'll pass.,Ми пас.
Evt5169_Select3_Hint0,Something about this whole deal feels off. Best not get involved.,Щось тут не так. Краще не втручатися.
EventTitle5170,(Side Quest) Suspicious Cargo Pickup,(Побічний квест) Підозрілий вантаж
EventText5170,Head to the designated location to pick up the mysterious shipment.,"Вирушайте у вказане місце, щоб забрати таємничий вантаж."
EventTitle5171,Water You Up To - Suspicious Cargo 2,Напоїти вас - підозрілий вантаж 2
EventText5171,"Another dilapidated factory. Looking inside, you see a ton of crates stacked neatly on the factory floor.","Ще одна напівзруйнована фабрика. Зазирнувши всередину, бачиш тонни ящиків, акуратно складених на підлозі фабрики."
