Localization,en,uk
NewCityInfoWindowScript_NoPeopleIn,No personnel assigned,Персонал не призначений
NewCityInfoWindowScript_NoPeopleInJob,No personnel assigned to this job,Жодного персоналу не призначено для цієї роботи
NewCityInfoWindowScript_NowEffectStock,Effect:\nDepot capacity: {0},Ефект:\nЄмність депо: {0}
NewCityInfoWindowScript_NowEffectWall,Effect:\nWall Integrity: {0},Ефект:\nЦілісність стіни: {0}
NewCityInfoWindowScript_NowJob,Current jobs:\n{0},Поточні вакансії:\n{0}
NewCityInfoWindowScript_PeopleFineRangedDenfenseUp1,<color=#4FFF4A>Personnel are in good spirits. Ranged Defense +{0}</color>,<color=#4FFF4A>Персонал у гарному настрої. Дальній захист +{0}</color>
NewCityInfoWindowScript_PeopleGood,<color=#4FFF4A>Personnel are in good spirits</color>,<color=#4FFF4A>Персонал у гарному настрої</color>
NewCityInfoWindowScript_PeopleHurt,<color=#FF4F4A>Personnel are Wounded. Bring them to your truck to heal them</color>,"<color=#FF4F4A>Особовий склад поранений. Принесіть їх до своєї вантажівки, щоб вилікувати їх</color>"
NewCityInfoWindowScript_Produce,Produces: ,Виробляє:
NewCityInfoWindowScript_ProduceTime,Time\n{0},Час\n{0}
NewCityInfoWindowScript_Prosperity,Prosperity: ,Процвітання:
NewCityInfoWindowScript_StatusNeed,Required: {0} {1},Необхідно: {0} {1}
NewCityInfoWindowScript_Stock,Depot: ,Депо:
NewCityInfoWindowScript_StockDiscription,Upgrade Depot to increase capacity.,"Оновіть склад, щоб збільшити місткість."
NewCityInfoWindowScript_TheConstructionCanProvideTheseLine,Production lines:\n,Виробничі лінії:\n
NewCityInfoWindowScript_UpgradeNeed,To upgrade: ,Для покращення:
SCBattleWindow_Wall,Wall,Стіна
SCBattleWindowScript_RemainBullet,Ammo Remaining: ,"Патрони, що залишилися:"
SCBattleWindowScript_SelfCityNotice1,"When your city reaches a large enough size, it will attract infected. Bandits will also try to attack your city.\n\n","Коли ваше місто досягне достатньо великих розмірів, воно приверне заражених. Бандити також спробують напасти на ваше місто.\n\n"
SCBattleWindowScript_SelfCityNotice2,"If you lose the battle, you'll pay a heavy price. If bandits raid your city, you will lose supplies. If infected raid your city, you will lose personnel.\n\n","Якщо ви програєте битву, ви заплатите високу ціну. Якщо бандити нападуть на ваше місто, ви втратите припаси. Якщо заражений нападе на ваше місто, ви втратите персонал.\n\n"
SCBattleWindowScript_SelfCityNotice3,Upgrade your city's defenses to provide more jobs that will increase defensive capabilities. Make sure you assign personnel to those jobs.,"Покращуйте захист свого міста, щоб забезпечити більше завдань, які підвищать обороноздатність. Переконайтеся, що ви призначили персонал на ці роботи."
SCBattleWindowScript_SelfCityNotice4,"You should also give your personnel the necessary equipment, and make sure they have enough Ammo to keep your city safe.\n\n","Ви також повинні надати своєму персоналу необхідне обладнання та переконатися, що вони мають достатньо боєприпасів, щоб забезпечити безпеку вашого міста.\n\n"
SCBattleWindowScript_SelfCityNotice5,"If personnel are Wounded, they will need to be healed. You can heal them by using Medkits or spending Creds. If they are not healed, they will die.","Якщо особовий склад поранений, його потрібно вилікувати. Ви можете зцілити їх, використовуючи аптечки або витративши Кредити. Якщо їх не вилікувати, вони помруть."
SCBattleWindowScript_WallDurability,Wall Integrity:,Цілісність стіни:
SelfCityManger_AddFavor,{0} relations +{1}\n,{0} відношення +{1}\n
SelfCityManger_BuildingMax,Building maxed out.,Будівля максимальна.
SelfCityManger_CancelTrade,"A caravan from {0} arrived in {1}, but there were no goods for them to purchase. They have canceled their trade agreement with you.","Караван із {0} прибув у {1}, але там не було товарів для покупки. Вони скасували свою торгову угоду з вами."
SelfCityManger_CanotLeave,You can't leave your truck behind. Not after all you've been through.,"Ви не можете залишити свою вантажівку. Ні після всього, що ти пережив."
SelfCityManger_CanotRenew,{2} will not renew their agreement with {1}. {0},{2} не поновлюватиме свою угоду з {1}. {0}
SelfCityManger_CanotSign,{2} will not sign an agreement with {1}. {0},{2} не підписуватиме угоду з {1}. {0}
SelfCityManger_CaravanArrive,A caravan from {0} has arrived in {1}.,Караван із {0} прибув у {1}.
SelfCityManger_CityAttacked,"Your city, {0}, has come under attack.","Ваше місто, {0}, зазнало атаки."
SelfCityManger_CityNoDef,"Your city, {0}, has come under attack. As there were no defense personnel, losses were severe.","Ваше місто, {0}, зазнало атаки. Оскільки оборони не було, втрати були серйозними."
SelfCityManger_CrewFull,Cannot remove this worker because your truck is full.,"Неможливо видалити цього працівника, оскільки ваша вантажівка заповнена."
SelfCityManger_FavorNeed,This distance requires relations of at least {0}.,Ця відстань вимагає відношень принаймні {0}.
SelfCityManger_Gear,{0} gained {2} Scrap from trade with {1}. Added to city storage.\n,{0} отримав {2} Брухту від торгівлі з {1}. Додано до міського сховища.\n
SelfCityManger_LackMeterial,Not enough materials to upgrade.,Недостатньо матеріалів для оновлення.
SelfCityManger_LackPros,City Prosperity too low to upgrade.,Процвітання міста занизьке для оновлення.
SelfCityManger_LosePolitic,Lost {0} Clout.\n\n,Втрачено {0} вплив.\n\n
SelfCityManger_NeedPeople,Upgrade your buildings to increase your city's population limit.,"Оновлюйте свої будівлі, щоб збільшити ліміт населення вашого міста."
SelfCityManger_NoMoney,You don't have the Scrap.,У вас немає Брухту.
SelfCityManger_NoNeedResource,The city has not produced the resources they need.,Місто не виробляє необхідних ресурсів.
SelfCityManger_ObtainPolitic,Acquired {0} Clout.\n\n,Отримано {0} Вплив.\n\n
SelfCityManger_OnlyCrew,There is only one person in your crew. You can't station them in your city.,У вашій команді лише одна людина. Ви не можете розмістити їх у своєму місті.
SelfCityManger_PeopleDie,{1} has died due to lack of treatment in {0}.,{1} помер через відсутність лікування в {0}.
SelfCityManger_Produce,Produces: ,Виробляє:
SelfCityManger_ProduceSomething,{0} produced {1}.,{0} створив {1}.
SelfCityManger_Reorganize,Changing jobs will cost 500 Scrap. Proceed?,Зміна роботи коштуватиме 500 Брухт. Продовжити?
SelfCityManger_Reset,Resetting the production line will reset production time. Proceed?,Скидання виробничої лінії призведе до скидання часу виробництва. Продовжити?
SelfCityManger_SelfCityFull,{0}'s Depot does not have the capacity to hold that many supplies.,Склад {0} не має можливості вмістити таку кількість запасів.
SelfCityManger_Sign,You signed a trade agreement with {0}. Make sure you produce enough goods.,"Ви підписали торгову угоду з {0}. Переконайтеся, що ви виробляєте достатньо товарів."
SelfCityManger_SpendTime,  Time:,Час:
SelfCityManger_ToCredit,{0}'s Depot is full. All trade will be transacted in Creds.,Склад {0} заповнений. Уся торгівля здійснюватиметься в кредитах.
SelfCityManger_TradePoint,{0} gained {2} Creds from trade with {1}.\n,{0} отримав {2} кредитів від торгівлі з {1}.\n
SelfCityManger_UpgradeBuilding,{0} upgraded to {1}.,{0} оновлено до {1}.
TradePanel_AutoExchange,Auto-Exchange Creds,Кредити автоматичного обміну
TradePanel_CancelConfirm,Cancel trade agreement with this city?,Скасувати торгову угоду з цим містом?
TradePanel_CancelTrade,Cancel Trade,Скасувати торгівлю
TradePanel_CityDistance,Distance: ,Відстань:
TradePanel_CityNotFound,You have not discovered this city.,Ви ще не відкривали це місто.
TradePanel_CityNotInTheMap,City is not on the current map.,Міста немає на поточній карті.
TradePanel_CityProduction,Producing: ,Виробництво:
TradePanel_Hint,Provide at least one good to fulfil trade agreements.,Надайте принаймні один товар для виконання торгових угод.
TradePanel_LowPrice,Min.,Хв.
TradePanel_NoPeopleInCity,No personnel in city.,Персоналу в місті немає.
TradePanel_PartyFriendly,Relations: ,Відносини:
TradePanel_SignConfirm,Sign a trade agreement with this city? They will visit your city every week to purchase goods.,"Підписати торгову угоду з цим містом? Щотижня вони відвідуватимуть ваше місто, щоб придбати товари."
TradePanel_SignTrade,Sign Agreement,Підписати угоду
TradePanel_WeekNeedProduction,Weekly Demand:,Щотижневий попит:
CityFractionPanel_Support,Support\n<size=16>Clout: 50</size>,Підтримка\n<size=16>Вплив: 50</size>
CityFractionPanel_Suppress,Suppress\n<size=16>Clout: 50</size>,Придушити\n<size=16>Вплив: 50</size>
CityFractionPanelScript_Controller, [Owner],[Власник]
CityFractionPanelScript_Depress,"Spend 50 Clout to suppress {0}? This will reduce their Influence in this city by 50 points, and hurt your relations with them.","Витратити 50 Впливу, щоб придушити {0}? Це зменшить їхній вплив у цьому місті на 50 балів і зашкодить вашим стосункам із ними."
CityFractionPanelScript_DepressEffect,{0} lost {1}{2} Influence in this city.,{0} втратив {1}{2} вплив у цьому місті.
CityFractionPanelScript_Favorability,Relations:,Відносини:
CityFractionPanelScript_Influence,Influence:,Вплив:
CityFractionPanelScript_InfluencePoint,Influence Points:,Точки Впливу:
CityFractionPanelScript_Inform,"Different factions give different bonuses to their members. See the Factions tab for more information.\n\nYou can spend Clout to either support or suppress factions in cities. Supporting or suppressing a faction will affect their Influence and their relations with you. When your relations with them reach 75, you can join a faction. When a faction has the highest Influence in a city, they become that city's owner.\n\nFinding and building your own cities and increasing their Prosperity will allow you to gain more Clout.\n\nYou can also improve relations with a faction by hiring their members, buying them a drink, or completing contracts for them.","Різні фракції дають різні бонуси своїм членам. Перегляньте вкладку «Фракції», щоб отримати додаткові відомості.\n\nВи можете витратити вплив на підтримку або придушення фракцій у містах. Підтримка або придушення фракції вплине на їхній вплив і стосунки з вами. Коли ваші відносини з ними досягнуть 75, ви можете приєднатися до фракції. Коли фракція має найвищий вплив у місті, вона стає власником цього міста.\n\nПошук і будівництво власних міст і підвищення їхнього процвітання дозволить вам отримати більше Впливу.\n\nВи також можете покращити стосунки з фракцією, найнявши її членів, купивши їм напій або виконавши для них контракти."
CityFractionPanelScript_NotEnough,Not enough Clout.,Недостатньо Впливу.
CityFractionPanelScript_PoliticalPoint,Available Clout:,Доступний вплив:
CityFractionPanelScript_Support,"Spend 50 Clout to support {0}? This will increase their Influence in this city by 50 points, and improve your relations with them.",Витратити 50 Вплив на підтримку {0}? Це збільшить їхній вплив у цьому місті на 50 балів і покращить ваші стосунки з ними.
CityFractionPanelScript_SupportEffect,{0} gained {1}{2} Influence in this city.,{0} отримав {1}{2} Впливу в цьому місті.
FractionManager_Banish,Faction relations are too low. You have been kicked out of your faction.,Фракційні відносини занадто низькі. Вас вигнали з вашої фракції.
FractionManager_BuyFirst,A trader from the {0} faction interrupts you. They want to buy the same goods as you. Will you let them go ahead of you?,"Трейдер з фракції {0} перериває вас. Вони хочуть купувати такі ж товари, як і ви. Ти дозволиш їм піти попереду?"
FractionManager_ConfirmJoin,Join the {0} faction?,Приєднатися до фракції {0}?
FractionManager_ControlChange,Control of {0} has shifted from {1} to {2}.,Контроль над {0} перейшов від {1} до {2}.
FractionManager_FavorMinus,{0} relations: {1},{0} відносини: {1}
FractionManager_FavorPlus,{0} relations: +{1},{0} відносини: +{1}
FractionManager_HaveLeft,Left {0},Залишилось {0}
FractionManager_InAFaction,You are already in a faction.,Ви вже у фракції.
FractionManager_InFaction,You are already in this faction.,Ви вже в цій фракції.
FractionManager_InfluenceMinus,{1}: {0} Influence {2},{1}: {0} Вплив {2}
FractionManager_InfluencePlus,{1}: {0} Influence +{2},{1}: {0} Вплив +{2}
FractionManager_Joker,"The caravan belongs to the same faction as the city. The store owner welcomes them in with a smile plastered on his face, immediately giving you the cold shoulder.","Караван належить до тієї ж фракції, що й місто. Власник магазину вітає їх з посмішкою на обличчі, відразу ж холодно ставлячись до вас."
FractionManager_LackFavor,Your relations are not good enough to join this faction.,"Ваші стосунки недостатньо хороші, щоб приєднатися до цієї фракції."
FractionManager_LeavingFaction,Leave your faction?,Покинути свою фракцію?
FractionManager_NoNews,There is no news at the moment.,На даний момент немає новин.
FractionManager_Note,"If you are not a member, your relations with any faction will gradually decay down to 40.\n[Building trade networks is a good way to maintain long-term relations with factions.]","Якщо ви не є членом, ваші відносини з будь-якою фракцією поступово впадуть до 40.\n[Створення торговельних мереж є хорошим способом підтримувати довгострокові відносини з фракціями.]"
FractionManager_NoteAddFavor,[Note] Agreeing will improve relations with this faction.,[Примітка] Погодження покращить відносини з цією фракцією.
FractionManager_NoteControl,[Note] This city is controlled by the {0} faction.,[Примітка] Це місто контролюється фракцією {0}.
FractionManager_NotInFaction,Not in any faction.,Не в жодній фракції.
FractionManager_SameFaction,"They see you are members of the same faction, and thank you for your support.","Вони бачать, що ви члени однієї фракції, і дякують вам за підтримку."
FractionManager_SameFaction2,"They see you are members of the same faction, and leave you alone.","Вони бачать, що ви члени однієї фракції, і залишають вас у спокої."
FractionManager_SellFirst,A trader from the {0} faction interrupts you. They're planning to sell the same goods as you. Will you let them go ahead of you?,"Трейдер з фракції {0} перериває вас. Вони планують продавати ті самі товари, що й ви. Ти дозволиш їм піти попереду?"
FractionManager_StepAside,"You politely step aside. The store owner welcomes them, and they give you a nod of thanks.","Ви ввічливо відходите вбік. Власник магазину вітає їх, і вони кивають тобі з подякою."
FractionPanel_Note,"If you are not a member, your relations with any faction will decay each week until they reach 40.","Якщо ви не є членом, ваші стосунки з будь-якою фракцією будуть погіршуватися щотижня, доки вони не досягнуть 40."
FractionPanelScript_Exit,Quit,Покинути
FractionPanelScript_Fraction,Faction Traits,Риси фракції
FractionPanelScript_Increase,Weekly Clout Growth:,Тижневе зростання Впливу:
FractionPanelScript_Join,Join,Приєднуйтесь
FractionPanelScript_Note1,You will gain 1 Clout per week for every {0} Prosperity points in each of your cities where personnel are stationed.,"Ви отримуватимете 1 Вплив на тиждень за кожні {0} очок процвітання в кожному з ваших міст, де дислокується персонал."
FractionPanelScript_Note2,Contracts and bounties give you Clout.,Контракти та винагороди дають вам вплив.
FractionPanelScript_Note3,Certain faction traits will also give you Clout.,Деякі риси фракції також нададуть вам Впливу.
ChoosePeopleWindow_FateMode,Fate Mode,Доля
ChoosePeopleWindow_FateModeDescrib,(Reloading won't change random events),(Перезавантаження не змінить випадкові події)
ChoosePeopleWindow_GotoCustom,Custom Character,Власний персонаж
ChoosePeopleWindow_GotoDefault,Preset Character,Заготовлені персонажі
ChoosePeopleWindow_InfectionMode,Infection Mode,Зараження
ChoosePeopleWindow_InfectionModeDescrib,(Plague Zones grow over time),(Чумні зони з часом зростають)
ChoosePeopleWindow_LowConsumptionMode,Ascetic Mode,Аскет
ChoosePeopleWindow_LowConsumptionModeDescrib,(Character needs greatly decreased),(Потреби в персонажах значно зменшилися)
ChoosePeopleWindow_MainMode,Hero Mode,Герой
ChoosePeopleWindow_MainModeDescrib,"(Play as your starting character, not your truck)","(Грайте за початкового персонажа, а не за вантажівку)"
ChoosePeopleWindow_SalaryMode,Salary Mode,Режим зарплати
ChoosePeopleWindow_SalaryModeDescrib,(Recruited characters are paid salaries),(Набрані персонажі отримують зарплату)
MakeMainCharacter_BooksLeft,Books: {0},Книги: {0}
MakeMainCharacter_PointsLeft,Trait points: {0},Очки рис: {0}
MakeMainCharacterBuffWindow_PointToAddOrDelete,Click to delete trait,"Натисніть, щоб видалити ознаку"
MakeMainCharacterBuffWindowScript_Delete,Delete,Видалити
MakeMainCharacterBuffWindowScript_NoPoint,You cannot have negative points remaining.,У вас не може залишатися негативних балів.
MakeMainCharacterBuffWindowScript_PointValue,Trait points: ,Очки рис:
MakeMainCharacterBuffWindowScript_RemainNum,Traits:  ,Риси:
MakeMainCharacterBuffWindowScript_RemainPoint,Trait points: ,Очки рис:
MakeMainCharacterBuffWindowScript_TooManyBuff,Too many traits,Забагато рис
MakeMainCharacterFriendlyPointWindow_NoPoint,You cannot have negative points remaining.,У вас не може залишатися негативних балів.
MakeMainCharacterFriendlyPointWindow_RemainPoint,Points remaining: ,Залишилося очок:
MakeMainCharacterFriendlyPointWindow_Title,Faction Relations,Фракційні відносини
MakeMainCharacterPointWindow_Degrade,Downgrade,Понизити
MakeMainCharacterSource_CarCapacity,Truck Capacity,Вантажівка
MakeMainCharacterSource_RemainGear,Scrap remaining:,Залишок Брухту:
MakeMainCharacterSource_ResourceList,Resources,Ресурси
MakeMainCharacterSourceScript_ChooseNumSendBack,Remove,Видалити
MakeMainCharacterSourceScript_NoPoint,You cannot have negative Scrap remaining.,У вас не може залишитися негативний Брухт.
CartWindow_Title,Trailer Workshop,Майстерня трейлерів
CartWindowScript_Develop,Build,Будувати
CartWindowScript_Install,Install,Встановити
CaravanPurchasePanelScript_BargainPS,"(Caravan visit, price reduced)","(Відвідування каравану, ціна знижена)"
CaravanPurchasePanelScript_Note1,"[Note] The less of a good remaining in a city, the more expensive it is.","[Примітка] Чим менше товару залишається в місті, тим дорожче воно коштує."
CaravanPurchasePanelScript_Note2,"[Note] The more of a good remaining in a city, the cheaper it is.","[Примітка] Чим більше товару залишається в місті, тим він дешевший."
CaravanPurchasePanelScript_Note3,[Note] This transaction will exceed your Depot's storage limit.,[Примітка] Ця транзакція перевищить ліміт пам’яті вашого депо.
CaravanPurchasePanelScript_RaisePricePS,"(Caravan visit, price increased)","(Відвідування каравану, ціна підвищена)"
CaravanShopWindow_Caravan,Caravan,Караван
CaravanShopWindow_Money,{0}: {1},{0}: {1}
LibraryWindow_LearnSkill,Learn Skill,Вивчити навичку
LibraryWindow_Library,Library,Бібліотека
LibraryWindow_Reserch,Research Blueprints,Дослідницькі креслення
LibraryWindow_SaveGame,Save Game,Зберегти гру
Synthesis_BatchSynthesis,Spend {0} Books to study this Blueprint?,Витратити {0} книг на вивчення цього креселення?
Synthesis_Cant,You must have a 100% success rate to enable bulk crafting.,"Ви повинні мати 100% успіх, щоб увімкнути масове крафтування."
Synthesis_CantLearn,Visit a city with a Library to study new Blueprints.,"Відвідайте місто з бібліотекою, щоб вивчити нові креслення."
Synthesis_Combat,Melee,Ближній бій
Synthesis_Drive,Driving,Водіння
Synthesis_Durable,Hull,Корпус
Synthesis_Equipt,(Equipment),(обладнання)
Synthesis_GunParts,Gun Parts,Частини зброї
Synthesis_Hat,Headwear,Головні убори
Synthesis_LackParts,You don't have enough materials.,Вам не вистачає матеріалів.
Synthesis_Learn,Learn,Навчитися
Synthesis_LearnFail,Studying failed. You received half your Books back. Increase your Crew Intellect and try again.,Навчання не вдалося. Ви отримали половину ваших книг. Збільште свій інтелект команди та спробуйте ще раз.
Synthesis_LearnSuccess,Studying successful.,Успішне навчання.
Synthesis_Legend,[<color=#FF4ADF>Legendary</color>],[<color=#FF4ADF>Легендарний</color>]
Synthesis_Make,Craft,Крафт
Synthesis_ManyMake,Bulk,Масово
Synthesis_NotLearn,Not learned,Не навчився
Synthesis_NowBook,Books: ,Книги:
Synthesis_NowIQ,\nIntellect: ,\nІнтелект:
Synthesis_Other,Other,інше
Synthesis_Parts,(Part),(частина)
Synthesis_Pro,[<color=#4AF1FF>Advanced</color>],[<color=#4AF1FF>Додатково</color>]
Synthesis_RecommendCraftLevel,Rec. Crafting: ,Пот. Крафт:
Synthesis_RecommendIQLevel,Rec. Intellect: ,Пот. Інтелект:
Synthesis_ShowAllThings,Show all,Показати все
Synthesis_SuccessRate,\nSuccess Rate: ,\nКоефіцієнт успіху:
Synthesis_SuccessRateCraft,Success Rate: ,Коефіцієнт успішності:
Synthesis_SuccessRayeLearn,Study Success: ,Успішність навчання:
Synthesis_Suits,Clothing,Одяг
Synthesis_SynthesisFail,Crafting failed. Increase your Crew Crafting and try again.,Помилка створення. Збільште свій Crew Crafting і спробуйте ще раз.
Synthesis_SynthesisResult,Items crafted: \n,Виготовлені предмети: \n
Synthesis_SynthesisSuccess,Crafted,Створено
Synthesis_Terrain,Terrain,Рельєф місцевості
Synthesis_TimeNeed,Time: ,час:
Synthesis_TopCanSynthesis,Craftable ↑,Можливість створення ↑
Synthesis_Weather,Weather,Погода
Synthesis_WeSynthesisNothing,You manage to craft nothing.,Вам нічого не вдається виготовити.
SynthesisController_GetRecipe1,Acquired Blueprint for {0},Отримано проект для {0}
BuildPointUI_AddAll,Add All,Додати все
BuildPointUI_ConstructionPoint,Construction Site,Будівельний майданчик
BuildPointUI_ConstructionSchadule,Progress,Прогрес
BuildPointUI_Notice,Construction will begin when enough materials have been added.,"Будівництво розпочнеться, коли буде додано достатньо матеріалів."
BuildPointUIScript_AddMaterial1,Deposited materials at construction site:\n{0},Вкладено матеріали на будівельний майданчик:\n{0}
BuildPointUIScript_AddMaterial2,Deposited materials at construction site: {1} x{0},Вкладено матеріали на будівельний майданчик: {1} x {0}
BuildPointUIScript_ConstructionStop,Construction halted due to lack of materials. Add more to continue.,"Будівництво призупинено через брак матеріалів. Додайте більше, щоб продовжити."
BuildPointUIScript_EnoughMaterial,You have enough materials.,У вас достатньо матеріалів.
BuildPointUIScript_NoMaterial1,You don't have any construction supplies.,У вас немає будівельних матеріалів.
BuildPointUIScript_NoMaterial2,You don't have this type of material.,У вас немає такого матеріалу.
BuildPointUIScript_Notice,Construction will begin when enough materials have been added. Materials cannot be removed once added.,"Будівництво розпочнеться, коли буде додано достатньо матеріалів. Додані матеріали неможливо видалити."
BuildPointUIScript_RoadInfo,{0} Section {1},{0} Розділ {1}
MapSystem_BuildPoint,Construction Site,Будівельний майданчик
MapSystem_BuildRoadChangeFriendly,Building a road changed your faction relations:\n,Будівництво дороги змінило ваші фракційні відносини:\n
MapSystem_BuildRoadComplete,{0} is complete. You gained {1} Clout.,{0} завершено. Ви отримали {1} Впливу.
MapSystem_BuildRoadPartComplete,{0} Section {1} is complete.,{0} Розділ {1} завершено.
MapSystem_ResourceReturn,Supply Cache,Кеш запасів
MapSystem_SetRouteHint,Set the route on the map.,Прокладіть маршрут на карті.
RoadBuildUI_AfterDeleteEffect,Removing a road changed your faction relations:\n,Видалення дороги змінило ваші фракційні відносини:\n
RoadBuildUI_BudgetInfo,Budget,Бюджет
RoadBuildUI_CancelAllConfirm,Delete all planned roads?,Видалити всі заплановані дороги?
RoadBuildUI_CancelAllRoad,Delete All Roads,Видалити всі дороги
RoadBuildUI_CancelPlan,Delete Plans,Видалити плани
RoadBuildUI_CancelPlanConfirm,Delete plans?,Видалити плани?
RoadBuildUI_CantDelete,Can't Remove,Неможливо видалити
RoadBuildUI_CantDeleteByOthrtRoad,Can't remove this road as other roads are connected to it.,"Неможливо видалити цю дорогу, оскільки до неї з’єднані інші дороги."
RoadBuildUI_ChosenPointCode,Node #:,Вузол №:
RoadBuildUI_ConfirmPlan,Confirm Plans,Підтвердьте плани
RoadBuildUI_DeleteEffect,"Canceling this road will cost {0} {1}. If the road has already been built, canceling it will hurt your relations with factions owning cities connected to the road. Proceed?","Скасування цієї дороги коштуватиме {0} {1}. Якщо дорогу вже побудовано, її скасування зашкодить вашим відносинам із фракціями, які володіють містами, пов’язаними з дорогою. Продовжити?"
RoadBuildUI_DeleteRed,<color=red>Remove Road</color>,<color=red>Видалити дорогу</color>
RoadBuildUI_DeleteRoad,Cancel Road,Скасувати дорогу
RoadBuildUI_DeleteRoadConfirm,Cancel this road?,Скасувати цю дорогу?
RoadBuildUI_DeleteRoadWarning,Removing this road will cost {1} x{0}.\n<color=red>Removing roads will hurt your relations with factions who own cities connected to the road.</color>,"Видалення цієї дороги коштуватиме {1} x {0}.\n<color=red>Видалення доріг зашкодить вашим стосункам із фракціями, які володіють містами, пов’язаними з дорогою.</color>"
RoadBuildUI_End,End:,Кінець:
RoadBuildUI_End1,End,Кінець
RoadBuildUI_EndCity,End City:,Кінцеве місто:
RoadBuildUI_FactionAward,Relations Bonus:,Бонус за відносини:
RoadBuildUI_Hint,"Different terrain types will affect the costs of building a road in different ways.\nBuilding roads through impassible terrain is the most expensive option.\nThe amount of materials needed for construction may vary.\n\nConstruction work requires labor fees (Clout). The Clout cost is determined by the amount of materials needed.\nBuilding roads will grant you Clout, and increase your relations with cities connected to the road.\nThe more cities connected to the road, the greater your reward.\n\nOnce you confirm your plans, construction sites will appear along the route.\nYou can deposit materials at construction sites. Deposited materials cannot be recovered. You can deliver materials in multiple batches.\nWhen a construction site has enough materials, construction progress will increase every minute. If a construction site does not have enough materials, construction will cease.","Різні типи рельєфу по-різному впливатимуть на витрати на будівництво дороги.\nБудівництво доріг через непрохідну місцевість є найдорожчим варіантом.\nКількість матеріалів, необхідних для будівництва, може відрізнятися.\n\nБудівельні роботи потребують оплати праці (Вплив). Вартість Вплив визначається кількістю необхідних матеріалів.\nБудівництво доріг надасть вам Вплив і покращить ваші стосунки з містами, пов’язаними з дорогою.\nЩо більше міст, пов’язаних з дорогою, тим більша ваша винагорода.\n\nЯкщо ви підтвердите свої плани, на маршруті з’являться будівельні майданчики.\nВи можете залишити матеріали на будівельних майданчиках. Депоновані матеріали не можуть бути відновлені. Ви можете доставляти матеріали кількома партіями.\nЯкщо на будівельному майданчику буде достатньо матеріалів, прогрес будівництва зростатиме щохвилини. Якщо на будівельному майданчику не вистачає матеріалів, будівництво припиняється."
RoadBuildUI_HintChooseStart,Select a road or city as the starting point.,Виберіть дорогу або місто як відправну точку.
RoadBuildUI_HintChooseStartNEnd,Confirm the road's start and end points.,Підтвердьте початкову та кінцеву точки дороги.
RoadBuildUI_InputRoadName,Enter road name,Введіть назву дороги
RoadBuildUI_InputRoadName1,Enter road name,Введіть назву дороги
RoadBuildUI_NameSame,Name is already in use.,Назва вже використовується.
RoadBuildUI_NoEnd,End: Unassigned,Кінець: не призначено
RoadBuildUI_NoResourceToDelete,Not enough {0}.,Недостатньо {0}.
RoadBuildUI_NoResourceToPlan,These roads will cost {0} to build. You do not have enough {1}. ({2} owned: {3}),Будівництво цих доріг коштуватиме {0}. У вас недостатньо {1}. ({2} належить: {3})
RoadBuildUI_NoStart,Start: Unassigned,Початок: не призначено
RoadBuildUI_PlanConfirm,"These roads will cost {0} to build. Do you want to confirm your plans? Once your plans are confirmed, it will cost {1} to remove your road, and half of all supplies will be refunded.","Будівництво цих доріг коштуватиме {0}. Хочете підтвердити свої плани? Щойно ваші плани буде підтверджено, видалення дороги коштуватиме {1}, а половину витрат буде відшкодовано."
RoadBuildUI_PlanNewRoad,Plan New Road,План нової дороги
RoadBuildUI_PlanningRoad,Plan Roads,План доріг
RoadBuildUI_PresetName,{0}-{1} Expressway,{0}-{1} Швидка автострада
RoadBuildUI_Radius,Radius:,радіус:
RoadBuildUI_Reset,Reset,Скинути
RoadBuildUI_RoadBudget,Distance: {0}km\n({1})\nBudget: {2} {3}\n(Owned: {4} {5} {6} - Planned: {7})\nResources required: {8}\nClout reward: {9},Відстань: {0} км\n({1})\nБюджет: {2} {3}\n(У власності: {4} {5} {6} - заплановано: {7})\nПотрібні ресурси: {8}\nНагорода за вплив: {9}
RoadBuildUI_RoadBuildComplete,Road has been built,Дорогу збудовано
RoadBuildUI_RoadBuildUI_RoadHaveForkRed,<color=red>Road intersects with other roads</color>,<color=red>Дорога перетинається з іншими дорогами</color>
RoadBuildUI_RoadBuildUI_RoadToShortRed,<color=red>Road too short</color>,<color=red>Дорога закоротка</color>
RoadBuildUI_RoadCrossItself,<color=red>This position may intersect itself</color>,<color=red>Ця позиція може перетинатися сама з собою</color>
RoadBuildUI_RoadHaveFork,Road intersects with another road. Consider creating two roads.,Дорога перетинається з іншою дорогою. Розгляньте можливість створення двох доріг.
RoadBuildUI_RoadInfo,Road Info,Дорожня інформація
RoadBuildUI_RoadIsBuilding,Road is under construction.,Дорога будується.
RoadBuildUI_RoadName,Road Name,Назва дороги
RoadBuildUI_RoadNameConfirm,"Name road ""{0}""?\nThe road's start and end points will determine its route. Ensure they are correct before clicking ""Confirm"".","Назвіть дорогу ""{0}""?\nПочаткова та кінцева точки дороги визначатимуть її маршрут. Перш ніж натиснути «Підтвердити», переконайтеся, що вони правильні."
RoadBuildUI_RoadPointConfirm,Click segments to create nodes. Drag the road to change the path. Right-click to delete nodes. Adjust parameters in the panel on the right.,"Клацніть сегменти, щоб створити вузли. Перетягніть дорогу, щоб змінити шлях. Клацніть правою кнопкою миші, щоб видалити вузли. Налаштуйте параметри на панелі праворуч."
