LocalizedMap,en,uk
CityDes_99_108,"Even the local traders and vagrants have no idea what goes on inside this place. All they know is that once a month, a truck drives in carrying new recruits.","Навіть місцеві торговці та волоцюги не знають, що відбувається всередині цього місця. Вони знають лише, що раз на місяць сюди приїжджає вантажівка з новобранцями."
CityDes_99_109,The warm breeze that blows through here bears a slight scent of sulfur.,"Теплий вітерець, що дме тут, несе легкий аромат сірки."
CityDes_99_110,"If you ply the chief pharmacist here with a few drinks, he'll proudly tell you about his youth as a traveling medicine man—making his fortune hawking supposed ""ancestral cures"" made from lard and burnt herbs, and moving on quick as his feet could carry him to avoid any sales disputes. After that, he'll reflexively hide his injured right hand, and tell you that he went on to concentrate on his research, eventually coming up with the highly effective ointment he sells today.","Якщо ви пригостите головного фармацевта кількома напоями, він з гордістю розповість вам про свою юність мандрівного знахаря, який заробляв на життя, торгуючи нібито ""ліками предків"", виготовленими з сала та палених трав, і рухався далі так швидко, як тільки могли нести його ноги, щоб уникнути будь-яких суперечок з продавцями. Після цього він рефлекторно сховає свою поранену праву руку і скаже вам, що далі він зосередився на своїх дослідженнях, і врешті-решт розробив високоефективну мазь, яку він продає сьогодні."
CityDes_99_111,"After soil erosion left scars across the land, the cotton harvest at this farm has been less than stable. The farm's owner can be seen hiking mountain paths to forage herbs in the hope of selling them to medicine makers.","Після того, як ерозія ґрунту залишила шрами по всій землі, врожай бавовни на цій фермі був не надто стабільним. Власника ферми можна побачити, як він ходить гірськими стежками, щоб зібрати лікарські трави в надії продати їх виробникам ліків."
CityDes_99_112,"This distillery's origins can be traced back to an old hunter who would regularly venture into the mountains with his hunting dog, a pocket full of jerky, and hip-flask full of booze, stopping to share them merrily with passers by. Later, when his rheumatism left him housebound, his hunter friends would came to visit him. After the woods to the north were overrun by infected, the hunter and his friends turned this place into a bar which became a beloved hangout spot for locals. The old hunter has passed on, but his descendants have inherited his brewing techniques, building an even larger distillery on the site.","Витоки цієї винокурні можна простежити до старого мисливця, який регулярно вирушав у гори зі своїм мисливським собакою, повною кишенею в'яленого м'яса та флягою на стегні, повною випивки, зупиняючись, щоб весело поділитися з перехожими. Пізніше, коли ревматизм прикував його до дому, друзі-мисливці приходили до нього в гості. Після того, як ліси на півночі заполонили інфіковані, мисливець і його друзі перетворили це місце на бар, який став улюбленим місцем тусовки для місцевих жителів. Старий мисливець помер, але його нащадки успадкували його техніку пивоваріння, побудувавши на цьому місці ще більшу винокурню."
CityDes_99_113,This pre-Fall fuel depot at the foot of Snowrage Peak has been long forgotten. Now the frozen corpses and the shambling infected surrounding it are the only marker of what went on here following the Fall.,"Про цей допотопний склад пального біля підніжжя піку Сноурейдж давно забули. Тепер замерзлі трупи та брудні інфіковані місця навколо нього є єдиним свідченням того, що відбувалося тут після падіння."
CityDes_99_114,"The rubber produced here is subpar at best, but it still sees a steady stream of shrewd merchants who turn it into new tires to be sold at high prices to passing drivers.","Гума, яку тут виробляють, у кращому випадку неякісна, але вона все одно знаходить постійний потік спритних ділків, які перетворюють її на нові шини, щоб продати за високими цінами проїжджаючим повз водіям."
CityDes_99_115,"Millennia of volcanic activity have left this area replete with gemstones. Under the Dustwolves' ""supervision"", the miners in the mountains to the east of here work day and night; the runoff from the mines mixes with rainwater and flows into this river, giving a scarlet tint which turns fire-red under the setting sun.","Тисячоліття вулканічної активності залишили цю місцевість багатою на коштовне каміння. Під ""наглядом"" Пилових вовків шахтарі в горах на схід звідси працюють вдень і вночі; стоки з шахт змішуються з дощовою водою і стікають у цю річку, надаючи їй багряного відтінку, який стає вогненно-червоним під призахідним сонцем."
CityDes_99_116,This ramshackle gas station is run by a young girl who staggers underneath the weight of the oil drums as she fills up passing vehicles.,"Цією напівзруйнованою заправкою керує молода дівчина, яка хитається під вагою бочок з нафтою, коли заправляє автомобілі, що проїжджають повз неї."
CityDes_99_117,"Located deep in the swamp, the air in this town is hot and muggy, leading unacclimatized visitors to often succumb to illness.","Повітря в цьому містечку, розташованому глибоко в болоті, гаряче і задушливе, що призводить до того, що неакліматизовані відвідувачі часто піддаються хворобам."
CityDes_99_118,"Before the Fall, this town suffered from an ageing population, with its young people departing in droves and rarely returning. Time seems to pass more slowly here, as if the world has forgotten it. A month after the great virus outbreak, an infected mailman finally shattered the town's peace. Now, possibly due to the destruction of the highway, Silverton is even harder to access. Away from the conflicts of the Dustlands, the people here live life at a slower pace, just as their ancestors did.","До Падіння це місто страждало від старіння населення, молодь масово виїжджала і рідко поверталася. Здається, час тут плине повільніше, ніби світ забув про нього. Через місяць після великого спалаху вірусу інфікований листоноша остаточно зруйнував спокій міста. Тепер, можливо, через руйнування шосе, до Сілвертона ще важче дістатися. Подалі від конфліктів Пилових земель, люди тут живуть повільним життям, як і їхні предки."
CityDes_99_119,"Located in a mountain pass, this town grew to a steady size thanks to passing travelers. Now, its bus stations and transport hubs have fallen to bandit gangs and hordes of infected.","Розташоване на гірському перевалі, це місто постійно зростало завдяки проїжджим мандрівникам. Тепер же його автовокзали та транспортні вузли впали під ударами бандитських угруповань та орд інфікованих."
CityDes_99_120,The smell of strong alcohol wafts throughout the streets and alleyways of this town.,Запах міцного алкоголю розноситься вулицями та провулками цього міста.
CityDes_99_121,"Nestled in the mountains, the owners of this gas station keep chickens in coops they built themselves. When infected aren't prowling about, the chickens are allowed to roam freely—so watch your step.","Власники цієї заправки, розташованої в горах, тримають курей у курниках, які вони збудували власноруч. Коли інфіковані не блукають довкола, курям дозволяється вільно гуляти - тож будьте обережні."
CityDes_99_122,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_123,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_124,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_126,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_127,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_128,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_129,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_130,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_131,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_132,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_133,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_134,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_135,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_136,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_137,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_138,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_139,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_140,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_141,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_142,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_143,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_144,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_145,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_146,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_147,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_148,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_149,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_150,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_151,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_152,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_153,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_154,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_155,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_156,"Once a banquet venue for local bigwigs, the manor house here has fallen into disrepair, its various furnishings chewed upon by ruminating livestock. The second virus outbreak began here, in the middle of a fancy wedding. It's not known which guest brought the virus in unawares, but before long attendees were tearing chunks out of each others' flesh.","Колись місце проведення бенкетів для місцевих можновладців, маєток занепав, а різні предмети інтер'єру погризла домашня худоба. Другий спалах вірусу почався тут, посеред розкішного весілля. Невідомо, хто з гостей приніс вірус зненацька, але незабаром гості почали виривати шматки плоті один в одного."
CityDes_99_157,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_158,"Though once known as the Golden Autumn Flour Factory, the changing climate led locals to rechristen the place in a moment of gallows' humor; eventually the name stuck. The previous owners, faced with dwindling wheat harvests, converted most of the buildings to cattle enclosures, hoping to transition to a new business. Now, droughts have turned the meadows to deserts, and keeping dairy cows becomes harder by the day.","Хоча колись підприємство було відоме під назвою ""Борошномельна фабрика ""Золота осінь"", зміна клімату змусила місцевих жителів перейменувати його в момент шибеницького гумору; зрештою, назва прижилася. Попередні власники, зіткнувшись зі зменшенням врожаю пшениці, переобладнали більшість будівель на загони для худоби, сподіваючись перейти до нового бізнесу. Тепер же посухи перетворили луки на пустелі, і утримувати дійних корів стає все важче з кожним днем."
CityDes_99_159,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_160,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_161,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_162,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_163,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_164,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_165,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_166,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_167,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_168,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_169,"The thick undergrowth of brambles and weeds has allowed this town to fend off a number of infected swarms, but they remain an occasional and undeniable threat.","Густі зарості чагарників і бур'янів дозволили місту відбитися від кількох заражених роїв, але вони залишаються періодичною і незаперечною загрозою."
CityDes_99_170,"The presence of the Antler Woods to the west made the residents of this town experienced hunters, who treaded much of what they caught with Camp Quagmire in exchange for the same ammo used to hunt it. Due to general pessimism regarding the state of the world, the town has not seen a newborn resident in decades. As its once-proud hunters fall victim to injury and old age and the woods become increasingly filled with infected, Blunderbuss's returns from hunting have fallen year on year. As a result, Camp Quagmire has broken off the agreement that has held for years, leaving the town's residents facing even greater difficulties.","Наявність Рогового лісу на заході зробила мешканців цього містечка досвідченими мисливцями, які віддавали значну частину здобичі табору Куагмайр в обмін на ті ж самі набої, що використовувалися для полювання на неї. Через загальний песимізм щодо стану світу, містечко не бачило новонароджених мешканців протягом десятиліть. Оскільки колись горді мисливці стають жертвами поранень і старості, а ліси дедалі більше заповнюються інфікованими, прибутки від полювання в Бландербусі падають з року в рік. Як наслідок, табір Куагмайр розірвав угоду, яка діяла протягом багатьох років, що поставило мешканців містечка перед ще більшими труднощами."
CityDes_99_171,This place has been abandoned for some time.,Це місце вже давно занедбане.
CityDes_99_172,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_173,"The residents of this town deeply cherish the Silent Woods that sustain them, and levy high fees on out-of-town hunters—unless they look like they're not to be messed with.","Мешканці цього містечка дуже цінують Тихі ліси, які їх годують, і стягують високі мита з немісцевих мисливців - якщо тільки вони не виглядають так, ніби з ними не варто зв'язуватися."
CityDes_99_174,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_175,This place produces various foodstuffs; the smell leaves passing travelers salivating.,"Тут виробляють різноманітні продукти харчування, від запаху яких у мандрівників, що проходять повз, тече слина."
CityDes_99_176,"The owner here is a woman of few words, known for her sullen and direct manner and ever-deepening frown.","Господиня - небагатослівна жінка, відома своєю похмурою і прямолінійною манерою поведінки та постійним насупленим обличчям."
CityDes_99_177,"Though it's not clear whether it was the work of a cat lover or a simple street artist, the disused power lines hanging across this town gave someone an idea; they have been rearranged into an approximation of a cat's face, with the town's loudspeaker tower at the center.","Хоча не зрозуміло, чи це робота любителя котів, чи просто вуличного художника, але занедбані лінії електропередач, що висять над містом, наштовхнули когось на ідею: їх переставили так, щоб вони нагадували котячу мордочку, а в центрі - міська вежа гучномовця."
CityDes_99_178,"This town is home to a number of large gemstone mines, formed by cooling magma. Their abundance and unusual appearance has led to the production of widely popular low-cost accessories.","У цьому містечку знаходиться кілька великих шахт з видобутку дорогоцінних каменів, утворених остигаючою магмою. Їх велика кількість і незвичайний зовнішній вигляд призвели до виробництва широко популярних недорогих аксесуарів."
CityDes_99_179,This place has been abandoned for some time.,Це місце вже давно занедбане.
CityDes_99_180,This place has been abandoned for some time.,Це місце вже давно занедбане.
CityDes_99_181,"This farm was founded by Civitas deserts who escaped Rat-Tail farm, restoring a derelict farmhouse to start a new chapter in their lives.","Цю ферму заснували пустельники Civitas, які втекли з ферми Щурячий хвіст, відновивши занедбану ферму, щоб почати нову главу в своєму житті."
CityDes_99_182,"This farm lies up a treacherous mountain path, and consists of a wooden cottage in a pine forest with a vegetable patch out the back. Though surprised to receive visitors, the old woman, her grandson in tow, will tell you about her parents. Her father was an accomplished painter before the Fall; he came here to paint the sun setting in the snow, and decided to remain here living in seclusion. Not long after the Fall, a survivor seeking refuge happened upon this place—that survivor being her mother.","Ця ферма розташована на підступній гірській стежці і складається з дерев'яного котеджу в сосновому лісі з городом на задньому дворі. Хоча старенька здивована, що до неї завітали гості, вона з онуком на буксирі розповість вам про своїх батьків. Її батько був досвідченим художником до падіння; він приїхав сюди, щоб намалювати захід сонця на снігу, і вирішив залишитися тут, щоб жити усамітнено. Невдовзі після Гріхопадіння на це місце натрапила одна з тих, хто вижив і шукав притулку - це була її мати."
CityDes_99_183,"Due to abundant nearby gneiss deposits, this factory has produced building materials since before the Fall. As demand for stone-based building materials has fallen, the factory has changed tack, and now depends on wood from the forests to the west for its production line.","Завдяки багатим покладам гнейсу поблизу, ця фабрика виробляла будівельні матеріали ще до падіння. Оскільки попит на будівельні матеріали з каменю впав, фабрика змінила напрямок діяльності і тепер залежить від деревини з лісів на заході країни для своєї виробничої лінії."
CityDes_99_184,"Though conditions here were once excellent for growing wheat, climate change has led to greatly reduced crop yields.","Хоча колись умови тут були чудовими для вирощування пшениці, зміна клімату призвела до значного зниження врожайності."
CityDes_99_185,This place is filled with unwanted detritus.,Це місце заповнене непотрібним сміттям.
CityDes_99_186,"Seeking a place to retire, a group of ageing mercenaries has forced out the owners and occupied this farm. Their idleness and general lack of business sense has driven the farm into decline.",У пошуках місця для виходу на пенсію група старіючих найманців витіснила власників і зайняла цю ферму. Їхнє неробство та загальний брак ділової хватки призвели до занепаду ферми.
CityDes_99_187,This gas station is a crucial supply point for adventurers making their way up the Scratch River.,"Ця заправка є важливим пунктом постачання для мандрівників, які прямують вгору по річці Скретч."
CityDes_99_188,This farm is run by a middle-aged woman with a seemingly boundless supply of patience and imagination. She has become particularly skilled at warding off the birds who eat her crops with an array of terrifying looking scarecrows.,"Цією фермою керує жінка середнього віку з безмежним запасом терпіння та уяви. Вона стала особливо вправною у відлякуванні птахів, які поїдають її врожай, за допомогою цілої низки страхітливих опудал."
CityDes_99_189,This is one of the few large-scale water purifier factories still standing. Many merchants come here to buy water purifiers and sell them on when the opportunity arises.,"Це один з небагатьох великих заводів з виробництва очищувачів води, який досі працює. Багато торговців приїжджають сюди, щоб купити очищувачі води і продати їх, коли з'являється можливість."
CityDes_99_190,The humidity conditions here are ideal for a variety of crops.,Умови вологості тут ідеальні для різних культур.
CityDes_99_191,"Mining takes a heavy physical toll on the body. Of the many miners whose muscles have been strained beyond the ability to swing a pickaxe, a lucky few are transferred here by the Dustwolves to till the soil.","Видобуток корисних копалин - важка фізична праця. З багатьох шахтарів, чиї м'язи напружені настільки, що вони не в змозі махати киркою, кілька щасливчиків переводяться сюди Пилові Вовки, щоб обробляти землю."
CityDes_99_192,The cheese and energy bars produced by this farm are a valuable commodity. Many adventurers are willing to venture into this area despite the high prevalence of the virus—only to become part of the very threat they hoped to avoid.,"Сир та енергетичні батончики, які виробляє ця ферма, є цінним товаром. Багато авантюристів готові наважитися на цю територію, незважаючи на значне поширення вірусу, лише для того, щоб стати частиною тієї самої загрози, якої вони сподівалися уникнути."
CityDes_99_193,"Located in between a riverbank and a swamp, this village is blanketed in a constant fog of incense, burnt to keep the mosquitos away.","Розташоване між берегом річки і болотом, це село постійно оповите туманом пахощів, які спалюють, щоб відлякати комарів."
CityDes_99_194,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Не зовсім легальна організація, що пропонує заощадження, позики та послуги з управління капіталом."
CityDes_99_195,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Не зовсім легальна організація, що пропонує заощадження, позики та послуги з управління капіталом."
CityDes_99_196,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Не зовсім легальна організація, що пропонує заощадження, позики та послуги з управління капіталом."
CityDes_99_197,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Не зовсім легальна організація, що пропонує заощадження, позики та послуги з управління капіталом."
CityDes_99_198,"A holdover from the pre-Fall era, this town was home to the volcanic zone's miners and their families, who enjoyed basic rights and the occasional privilege besides. Now the original inhabitants have been driven out, and Ernieford has become a den of iniquity for the Dustwolves.","У цьому містечку, що залишилося з допадіння, жили шахтарі вулканічної зони та їхні сім'ї, які користувалися основними правами та деякими привілеями, крім того. Тепер первісних мешканців вигнали, і Ерніфорд став лігвом беззаконня для Пилових вовків."
CityDes_99_199,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_200,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_201,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_202,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_203,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_204,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_205,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_206,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_207,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_208,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_209,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_210,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_211,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_212,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_213,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_214,This place leads to the underground.,Це місце веде до підземелля.
CityDes_99_215,One of the places marked in the notebook. Must be something important.,"Одне з місць, позначених у блокноті. Має бути щось важливе."
CityDes_99_216,"""PREPARATIONS - IMPORTANT"". That's all the notebook said about this place.","""ПІДГОТОВКА - ВАЖЛИВА"". Це все, що блокнот сказав про це місце."
RegionName_1,Central Highlands,Центральне нагір'я
RegionName_2,Plague Zone,Чумна зона
RegionName_3,Southwest Desert,Південно-західна пустеля
RegionName_4,Fetid Swamp,Смердюче болото
RegionName_5,Snowcapped Mountains,Засніжені гори
RegionName_6,Nameless Hills,Безіменні пагорби
RegionName_7,Southwest Hills,Південно-західні пагорби
RegionName_8,Canopy Mountains,Canopy гори
RegionName_9,Northmost Hills,Північні пагорби
RegionName_10,North Hills,Північні пагорби
RegionName_11,Far Cloud Hills,Далекі хмарні пагорби
RegionName_12,Autumn Mountains,Осінні гори
RegionName_13,Windbreaker Mountains,Вітрові гори
RegionName_14,Hundred Hills,Сто пагорбів
RegionName_15,Nameless Foothills,Безіменне Передгір'я
RegionName_16,Ten Mile Hills,Ten Mile Hills
RegionName_17,Viper Hills,Гадюкі пагорби
RegionName_18,Little Split Mountains,Малі Спліт гори
RegionName_19,Lazy-Eye Mountains,Гори ледачого ока
RegionName_20,Big Split Mountains,Великі Спліт гори
RegionName_21,Peacock Hills,Павлині пагорби
RegionName_22,Wraith Mountain,Wraith Mountain
RegionName_23,Cactus Desert,Кактусова пустеля
RegionName_24,Dead End Desert,Тупикова пустеля
RegionName_25,Southwest Wastes,Південно-західні пустки
RegionName_26,North Central Wastes,Північні центральні пустки
RegionName_27,Mount Cirrus Wastes,Гора Перистих пусток
RegionName_28,Taranis Woods,Тараніс Вудс
RegionName_29,Greater Mount Solitude Woodlands,Велика гора Солітуд Ліс
RegionName_30,Frostfall Chaparral,Морозопад Чапараль
RegionName_31,Frostfall Forest,Інеопадний ліс
RegionName_32,Shady Pocket Woods,Shady Pocket Woods
RegionName_33,Dusky Woods,Даскі Вудс
RegionName_34,Greater Canopy Woodlands,Greater Canopy Woodlands
RegionName_35,Lesser Canopy Woodlands,Малолісся
RegionName_36,Glowworm Woods,Світлячок Вудс
RegionName_37,Greensleeve Woods,Грінслів Вудс
RegionName_38,West Ridge Woodlands,Вест-Рідж Вудлендс
RegionName_39,Sparrow Nest Woods,Воробйове гніздо Вудс
RegionName_40,Montane Chaparral,Монтайн Чапараль
RegionName_41,Songthrush Woods,Співочий ліс
RegionName_42,Clover Woods,Кловер Вудс
RegionName_43,Maple Woods,Кленовий ліс
RegionName_44,No Man's Woods,Нічийний ліс
RegionName_45,Musty Woods,Масті Вудс
RegionName_46,Truffle Woods,Трюфельний ліс
RegionName_47,Mute Crow Woods,Мут Кроу Вудс
RegionName_48,Lesser Mount Solitude Woodlands,Lesser Mount Solitude Woodlands
RegionName_49,Star River Woods,Стар-Рівер Вудс
RegionName_50,Youngblood River Redwoods,Секвої річки Янгблад
RegionName_51,Mizzle Swamp,Mizzle Swamp
RegionName_52,Plague Swamp,Чумове болото
RegionName_53,Vulture Swamp,Гриф болото
RegionName_54,Greengrowth Floodplain,Зелена заплава
RegionName_55,Swampy Glades,Заболочені поляни
RegionName_56,North Border Wetlands,Північні прикордонні водно-болотні угіддя
RegionName_57,Youngblood River,Річка Янгблад
RegionName_58,White River,Біла річка
RegionName_59,Cloudy River,Хмарна річка
RegionName_60,Red Rest River,Червона річка Рест
RegionName_61,Centerland River,Річка Центрленд
RegionName_62,Goldleap River,Річка Голдліп
RegionName_63,Goldleap River,Річка Голдліп
RegionName_64,Thundercloud Reservoir,Водосховище Грозова хмара
RegionName_65,Kurosawa Reservoir,Куросавське водосховище
RegionName_66,Silverspring Lake,Озеро Сільверспрінг
RegionName_67,Cirrus Reservoir,Перисте водосховище
RegionName_68,Bright Eye Lake,Озеро Світле Око
RegionName_69,Yancey Lake,Озеро Янсі
RegionName_70,Breezy Lake,Вітряне озеро
RegionName_71,Sawyer Lake,Озеро Соєр
RegionName_72,Eastgreen Reservoir,Істгрінське водосховище
RegionName_73,Northwind Lake,Northwind Lake
RegionName_74,Everclear Lake,Озеро Еверклір
RegionName_75,Brightstar Bay,Затока Брайтстар
RegionName_76,Mount Cirrus,Гора Цирус
RegionName_77,Mount Noend,Гора Ноенд
RegionName_78,Big Deer Mountain,Велика Оленяча гора
RegionName_79,Crosswise Mountain,Хрестоподібна гора
RegionName_80,Mount Impasse,Гора Тупік
RegionName_81,Mount Northfrost,Гора Нортфрост
RegionName_82,Lengthwise Mountain,Гора вздовж
RegionName_83,Mount Sunset,Гора Сансет
RegionName_84,Tutelary Mountain,Опекунська гора
RegionName_85,Mount Memry,Гора Мемрі
RegionName_86,Thunder Peak,Громовий пік
RegionName_87,South Boundary Peaks,Південні прикордонні вершини
RegionName_88,Mount Solitude,Гора Солітьюд
RegionName_89,Mount Whitcloud,Гора Вітклауд
RegionName_90,Snowsquall Peak,Пік Сноусквол
RegionName_91,Mount Broadgreen,Гора Бродгрін
RegionName_92,Mount Craneiron,Гора Кранейрон
RegionName_93,Bearback Mountain,Ведмежа гора
RegionName_94,Challenger Peak,Пік Челленджера
RegionName_95,Eastgreen Peak,Істгрін Пік
RegionName_96,Mount Nevurdy,Гора Невурди
RegionName_97,Mount Gumo,Гора Гумо
RegionName_98,Springer Mountain,Гора Спрингер
RegionName_99,Westgreen Peak,Вестгрін Пік
RegionName_100,Mount Vaulthauler,Гора Vaulthauler
RegionName_101,Mount Sipriva,Гора Сиприва
RegionName_102,Mount Estill,Гора Естілл
RegionName_103,Snowy Mountain,Сніжна гора
RegionName_104,Mega Plague Zone,Мега зона чуми
RegionName_105,Glooper Woods,Глупер Вудс
RegionName_106,Honey Woods,Медовий ліс
RegionName_107,Sunset Woodlands,Sunset Woodlands
RegionName_108,Farholler Woods,Фархоллер Вудс
RegionName_109,Fuller Woods,Фуллер Вудс
RegionName_110,Bolsillo Woods,Болсільо Вудс
RegionName_111,Redworm Woods,Redworm Woods
RegionName_112,Thornbark Woods,Терновий ліс
RegionName_113,Sweetfield Woods,Світфілд Вудс
RegionName_114,Great Sweetfield Woods,Грейт Світфілд Вудс
RegionName_115,Southpool Woods,Саутпул Вудс
RegionName_116,Bald Eagle Hills,Білоголовий Орлан
RegionName_117,Dewdrop Mountains,Росинні гори
RegionName_118,Bucktooth Mountains,Гори Зубчасті
RegionName_119,Lost Deer Mountains,Загублені оленячі гори
RegionName_120,Burngrave Mountains,Бернгрейвські гори
RegionName_121,Nekhbet Mountains,Гори Нехбет
RegionName_122,Turtledove Mountains,Горличі гори
RegionName_123,Broken Skull Mountains,Гори розбитого черепа
RegionName_124,Esprit Mountains,Гори Еспріт
RegionName_125,Hanged Man's Mountains,Гори повішеного
RegionName_126,Rolling Rock Mountains,Скелясті гори
RegionName_127,Windy Slope,Вітряний схил
RegionName_128,Hormiga Desert,Пустеля Хорміга
RegionName_129,Windchoke Desert,Пустеля Windshoke
RegionName_130,Naegleria Desert,Пустеля Неглерія
RegionName_131,Ultra Plague Zone,Ультразона чуми
RegionName_132,Warmhand Woods,Warmhand Woods
RegionName_133,Azucarado Woods,Ліс Азукарадо
RegionName_134,Lesser Brisler Woods,Малий Брислер-Вудс
RegionName_135,Weeping Woods,Плачучий ліс
RegionName_136,Graymottle Woods,Греймоттл Вудс
RegionName_137,Rotcash Woods,Роткеш Вудс
RegionName_138,Peakpile Woods,Пікпайл Вудс
RegionName_139,Slowbleed Woods,Слоублед Вудс
RegionName_140,Windbracer Woods,Windbracer Woods
RegionName_141,Bright Woods,Яскравий ліс
RegionName_142,Stiffhide Woods,Стіффхайд Вудс
RegionName_143,Girdle Woods,Гірдл Вудс
RegionName_144,Crossroot Woods,Crossroot Woods
RegionName_145,Lonomia Woods,Лономія Вудс
RegionName_146,Claygrease Woods,Клейгриз Вудс
RegionName_147,Negundo Woods,Негундо Вудс
RegionName_148,Ashmoth Woods,Ашмот Вудс
RegionName_149,Whitehair Woods,Біловолосий Вудс
RegionName_150,Amargo Woods,Амарго Вудс
RegionName_151,Firefly Woods,Firefly Woods
RegionName_152,Canecross Woods,Canecross Woods
RegionName_153,Stonybreak Woods,Стонібрейк Вудс
RegionName_154,Greater Asustado Woods,Великий ліс Асустадо
RegionName_155,Lesser Asustado Woods,Малий ліс Асудстадо
RegionName_156,Greater Brisler Woods,Великий Брислер-Вудс
RegionName_157,Phosphor Swamp,Фосфорне болото
RegionName_158,Softfoot Mire,Softfoot Mire
RegionName_159,Boylegren Swamp,Болото Бойлегрен
RegionName_160,Slipworm Swamp,Slipworm болото
RegionName_161,Bogbody Swamp,Болото Болото
